dataid,localminute,grid,air1,bathroom1,furnace1,microwave1,refrigerator1,car1
186,7/28/19 13:00,0.551,0,,0.006,0.08,0.154,0.154
186,7/28/19 13:01,0.551,0,,0.006,0.079,0.153,0.153
186,7/28/19 13:02,0.55,0,,0.006,0.079,0.153,0.153
186,7/28/19 13:03,0.548,0,,0.006,0.079,0.152,0.152
186,7/28/19 13:04,0.535,0,,0.006,0.079,0.182,0.182
186,7/28/19 13:05,0.461,0,,0.006,0.079,0.182,0.182
186,7/28/19 13:06,0.388,0,,0.006,0.079,0.182,0.182
186,7/28/19 13:07,0.401,0,,0.006,0.079,0.181,0.181
186,7/28/19 13:08,0.401,0,,0.006,0.079,0.181,0.181
186,7/28/19 13:09,0.4,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:10,0.4,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:11,0.4,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:12,0.399,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:13,0.399,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:14,0.398,0,,0.006,0.078,0.002,0.002
186,7/28/19 13:15,1.551,0.997,,0.202,0.079,0.003,0.003
186,7/28/19 13:16,2.819,2.128,,0.386,0.079,0.004,0.004
186,7/28/19 13:17,2.838,2.148,,0.387,0.079,0.004,0.004
186,7/28/19 13:18,2.801,2.109,,0.388,0.079,0.004,0.004
186,7/28/19 13:19,2.965,2.108,,0.388,0.079,0.172,0.172
186,7/28/19 13:20,2.966,2.129,,0.387,0.079,0.153,0.153
186,7/28/19 13:21,3.014,2.177,,0.388,0.079,0.154,0.154
186,7/28/19 13:22,3.009,2.174,,0.387,0.079,0.155,0.155
186,7/28/19 13:23,3.002,2.166,,0.387,0.079,0.155,0.155
186,7/28/19 13:24,2.992,2.165,,0.386,0.079,0.155,0.155
186,7/28/19 13:25,2.987,2.168,,0.386,0.08,0.154,0.154
186,7/28/19 13:26,2.991,2.17,,0.386,0.08,0.154,0.154
186,7/28/19 13:27,3.02,2.188,,0.387,0.08,0.153,0.153
186,7/28/19 13:28,3.006,2.175,,0.385,0.08,0.152,0.152
186,7/28/19 13:29,3.004,2.171,,0.387,0.08,0.152,0.152
186,7/28/19 13:30,3.029,2.2,,0.386,0.08,0.151,0.151
186,7/28/19 13:31,1.96,1.091,,0.384,0.08,0.15,0.15
186,7/28/19 13:32,0.677,0,,0.193,0.079,0.102,0.102
186,7/28/19 13:33,0.397,0,,0.006,0.08,0.002,0.002
186,7/28/19 13:34,0.397,0,,0.006,0.08,0.002,0.002
186,7/28/19 13:35,0.397,0,,0.006,0.08,0.002,0.002
186,7/28/19 13:36,0.396,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:37,0.396,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:38,0.396,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:39,0.396,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:40,0.397,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:41,0.398,0,,0.006,0.08,0.002,0.002
186,7/28/19 13:42,0.397,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:43,0.397,0,,0.006,0.079,0.002,0.002
186,7/28/19 13:44,1.591,1.042,,0.2,0.079,0.003,0.003
186,7/28/19 13:45,2.885,2.2,,0.387,0.079,0.004,0.004
186,7/28/19 13:46,3.063,2.214,,0.385,0.08,0.169,0.169
186,7/28/19 13:47,3.042,2.208,,0.385,0.08,0.152,0.152
186,7/28/19 13:48,3.04,2.21,,0.386,0.08,0.152,0.152
186,7/28/19 13:49,3.065,2.234,,0.386,0.08,0.153,0.153
186,7/28/19 13:50,3.072,2.241,,0.386,0.08,0.154,0.154
186,7/28/19 13:51,3.063,2.232,,0.386,0.081,0.159,0.159
186,7/28/19 13:52,3.084,2.255,,0.386,0.08,0.154,0.154
186,7/28/19 13:53,3.069,2.238,,0.386,0.081,0.156,0.156
186,7/28/19 13:54,3.084,2.256,,0.387,0.081,0.157,0.157
186,7/28/19 13:55,3.084,2.258,,0.386,0.081,0.157,0.157
186,7/28/19 13:56,3.055,2.227,,0.386,0.081,0.156,0.156
186,7/28/19 13:57,3.051,2.22,,0.386,0.081,0.156,0.156
186,7/28/19 13:58,3.049,2.221,,0.387,0.081,0.155,0.155
186,7/28/19 13:59,2.913,2.226,,0.387,0.081,0.154,0.154