dataid,localminute,grid,air1,bathroom1,furnace1,microwave1,refrigerator1,oven1,oven2
186,7/28/19 13:00,0.287,0,,0.006,0.08,0.004,0.003,0.003
186,7/28/19 13:01,0.314,0,,0.006,0.079,0.03,0.003,0.003
186,7/28/19 13:02,0.485,0,,0.006,0.079,0.201,0.003,0.003
186,7/28/19 13:03,0.466,0,,0.006,0.079,0.182,0.005,0.005
186,7/28/19 13:04,0.466,0,,0.006,0.079,0.182,0.001,0.001
186,7/28/19 13:05,0.511,0,,0.006,0.128,0.182,0.001,0.001
186,7/28/19 13:06,0.491,0,,0.006,0.106,0.182,0.001,0.001
186,7/28/19 13:07,0.46,0,,0.006,0.079,0.181,0.001,0.001
186,7/28/19 13:08,0.456,0,,0.006,0.079,0.181,0.001,0.001
186,7/28/19 13:09,0.455,0,,0.006,0.079,0.18,0.001,0.001
186,7/28/19 13:10,0.451,0,,0.006,0.079,0.177,0.001,0.001
186,7/28/19 13:11,0.454,0,,0.006,0.079,0.175,0.001,0.001
186,7/28/19 13:12,0.465,0,,0.006,0.079,0.174,0.001,0.001
186,7/28/19 13:13,0.455,0,,0.006,0.079,0.17,0.001,0.001
186,7/28/19 13:14,0.98,0.451,,0.102,0.079,0.169,0.001,0.001
186,7/28/19 13:15,2.798,2.045,,0.388,0.079,0.169,0.001,0.001
186,7/28/19 13:16,2.856,2.109,,0.387,0.079,0.168,0.001,0.001
186,7/28/19 13:17,2.843,2.096,,0.388,0.079,0.167,0.001,0.001
186,7/28/19 13:18,2.838,2.094,,0.387,0.079,0.166,0.006,0.006
186,7/28/19 13:19,2.825,2.081,,0.387,0.08,0.165,0.006,0.006
186,7/28/19 13:20,2.827,2.086,,0.386,0.079,0.164,0.006,0.006
186,7/28/19 13:21,2.838,2.098,,0.386,0.08,0.163,0.005,0.005
186,7/28/19 13:22,2.832,2.091,,0.386,0.08,0.162,0.005,0.005
186,7/28/19 13:23,2.85,2.112,,0.386,0.08,0.161,0.005,0.005
186,7/28/19 13:24,2.837,2.098,,0.387,0.08,0.16,0.005,0.005
186,7/28/19 13:25,2.851,2.116,,0.385,0.08,0.16,0.005,0.005
186,7/28/19 13:26,2.833,2.098,,0.386,0.08,0.159,0.005,0.005
186,7/28/19 13:27,2.817,2.079,,0.386,0.08,0.16,0.007,0.007
186,7/28/19 13:28,2.816,2.08,,0.385,0.08,0.158,0.007,0.007
186,7/28/19 13:29,2.826,2.09,,0.385,0.08,0.158,0.007,0.007
186,7/28/19 13:30,2.85,2.116,,0.386,0.08,0.157,0.007,0.007
186,7/28/19 13:31,2.871,2.139,,0.386,0.08,0.157,0.007,0.007
186,7/28/19 13:32,2.884,2.152,,0.386,0.08,0.155,0.009,0.009
186,7/28/19 13:33,2.861,2.13,,0.386,0.081,0.155,0.009,0.009
186,7/28/19 13:34,2.853,2.121,,0.386,0.081,0.154,0.009,0.009
186,7/28/19 13:35,2.848,2.118,,0.385,0.081,0.154,0.009,0.009
186,7/28/19 13:36,2.81,2.107,,0.386,0.081,0.124,0.009,0.009
186,7/28/19 13:37,2.702,2.119,,0.386,0.081,0.004,0.009,0.009
186,7/28/19 13:38,2.711,2.125,,0.387,0.081,0.004,0.009,0.009
186,7/28/19 13:39,2.694,2.106,,0.387,0.082,0.004,0.009,0.009
186,7/28/19 13:40,2.705,2.119,,0.387,0.082,0.004,0.009,0.009
186,7/28/19 13:41,2.726,2.142,,0.387,0.081,0.004,0.009,0.009
186,7/28/19 13:42,2.721,2.137,,0.387,0.081,0.004,0.009,0.009
186,7/28/19 13:43,0.986,0.346,,0.383,0.08,0.003,0.009,0.009
186,7/28/19 13:44,0.352,0,,0.067,0.081,0.002,0.009,0.009
186,7/28/19 13:45,0.296,0,,0.006,0.081,0.002,0.003,0.003
186,7/28/19 13:46,0.298,0,,0.006,0.081,0.002,0.003,0.003
186,7/28/19 13:47,0.291,0,,0.006,0.081,0.002,0.003,0.003
186,7/28/19 13:48,0.292,0,,0.006,0.08,0.002,0.003,0.003
186,7/28/19 13:49,0.338,0,,0.006,0.08,0.002,0.003,0.003
186,7/28/19 13:50,0.476,0,,0.006,0.08,0.072,0.003,0.003
186,7/28/19 13:51,0.56,0,,0.006,0.08,0.159,0.003,0.003
186,7/28/19 13:52,0.554,0,,0.006,0.079,0.154,0.003,0.003
186,7/28/19 13:53,0.556,0,,0.006,0.08,0.156,0.003,0.003
186,7/28/19 13:54,0.556,0,,0.006,0.079,0.157,0.005,0.005
186,7/28/19 13:55,0.555,0,,0.006,0.079,0.157,0.005,0.005
186,7/28/19 13:56,0.555,0,,0.006,0.079,0.156,0.005,0.005
186,7/28/19 13:57,0.556,0,,0.006,0.079,0.156,0.005,0.005
186,7/28/19 13:58,0.554,0,,0.006,0.079,0.155,0.005,0.005
186,7/28/19 13:59,0.552,0,,0.006,0.079,0.154,0.005,0.005